timestamp,context,num_transactions,min_support,min_confidence,num_frequent_itemsets,num_rules,avg_confidence,max_confidence,runtime_seconds,status,error
2026-01-23 10:50:58,time_bucket=evening|is_weekend=0|day_of_week=2|basket_size_category=small|purchase_frequency=medium,3853,0.002,0.1,230,5,0.1175,0.1452,30.72,success,
2026-01-23 10:51:12,time_bucket=evening|is_weekend=0|day_of_week=4|basket_size_category=large|purchase_frequency=high,11258,0.002,0.1,0,0,0.0,0.0,13.92,error,An error occurred while calling o533.collectToPython
2026-01-23 11:09:12,time_bucket=evening|is_weekend=0|day_of_week=2|basket_size_category=small|purchase_frequency=medium,3853,0.002,0.1,230,5,0.1175,0.1452,24.07,success,
2026-01-23 11:09:28,time_bucket=evening|is_weekend=0|day_of_week=4|basket_size_category=large|purchase_frequency=high,11258,0.002,0.1,5023,2919,0.2373,0.7931,15.97,success,
2026-01-23 11:09:38,time_bucket=evening|is_weekend=1|day_of_week=6|basket_size_category=medium|purchase_frequency=medium,9631,0.002,0.1,922,161,0.1762,0.525,9.41,success,
2026-01-23 11:10:11,time_bucket=night|is_weekend=1|day_of_week=0|basket_size_category=large|purchase_frequency=medium,576,0.002,0.1,144551,3000,1.0,1.0,32.93,success,
2026-01-23 11:10:16,time_bucket=evening|is_weekend=0|day_of_week=4|basket_size_category=large|purchase_frequency=medium,3553,0.002,0.1,4002,2203,0.2422,1.0,5.22,success,
2026-01-23 11:10:18,time_bucket=afternoon|is_weekend=1|day_of_week=0|basket_size_category=small|purchase_frequency=low,6041,0.002,0.1,214,6,0.1522,0.2766,2.47,success,
2026-01-23 11:10:31,time_bucket=afternoon|is_weekend=0|day_of_week=4|basket_size_category=large|purchase_frequency=high,24525,0.002,0.1,4381,2393,0.2375,0.7105,12.34,success,
2026-01-23 11:10:34,time_bucket=morning|is_weekend=1|day_of_week=6|basket_size_category=medium|purchase_frequency=medium,15573,0.002,0.1,894,157,0.1686,0.3824,3.82,success,
2026-01-23 11:10:38,time_bucket=morning|is_weekend=1|day_of_week=6|basket_size_category=small|purchase_frequency=high,14737,0.002,0.1,215,9,0.1537,0.2727,3.7,success,
2026-01-23 11:10:43,time_bucket=evening|is_weekend=0|day_of_week=4|basket_size_category=medium|purchase_frequency=low,4650,0.002,0.1,853,124,0.1769,0.5,4.63,success,
2026-01-23 11:10:49,time_bucket=afternoon|is_weekend=0|day_of_week=4|basket_size_category=medium|purchase_frequency=high,71762,0.002,0.1,896,186,0.182,0.4868,6.61,success,
2026-01-23 11:10:52,time_bucket=afternoon|is_weekend=0|day_of_week=5|basket_size_category=small|purchase_frequency=low,4588,0.002,0.1,0,0,0.0,0.0,2.4,success,
2026-01-23 11:11:05,time_bucket=morning|is_weekend=0|day_of_week=5|basket_size_category=large|purchase_frequency=medium,6353,0.002,0.1,4332,2225,0.221,0.7619,13.64,success,
2026-01-23 11:11:09,time_bucket=evening|is_weekend=0|day_of_week=3|basket_size_category=small|purchase_frequency=low,2021,0.002,0.1,180,1,0.1538,0.1538,3.35,success,
2026-01-23 11:11:17,time_bucket=morning|is_weekend=0|day_of_week=4|basket_size_category=medium|purchase_frequency=medium,13334,0.002,0.1,861,145,0.18,0.4394,8.03,success,
2026-01-23 11:11:23,time_bucket=evening|is_weekend=0|day_of_week=4|basket_size_category=small|purchase_frequency=medium,3680,0.002,0.1,218,7,0.1345,0.1515,5.86,success,
2026-01-23 11:11:30,time_bucket=night|is_weekend=0|day_of_week=2|basket_size_category=medium|purchase_frequency=high,2916,0.002,0.1,1160,326,0.1949,1.0,7.48,success,
2026-01-23 11:11:36,time_bucket=evening|is_weekend=0|day_of_week=1|basket_size_category=medium|purchase_frequency=low,5919,0.002,0.1,974,192,0.1718,0.4062,5.44,success,
2026-01-23 11:11:39,time_bucket=evening|is_weekend=1|day_of_week=6|basket_size_category=small|purchase_frequency=high,8461,0.002,0.1,210,2,0.1477,0.1712,2.95,success,
